,Replica 1 (500 ns eq),Replica 2 (1000 ns eq),Replica 3 (1500 ns eq),Mean (all replicas),Std (all replicas),Property
ARG,3.459054094590541,4.086491350864914,3.57004299570043,3.705196147051961,0.2733973401241811,Charged (+)
GLU,2.7344265573442654,2.10988901109889,2.8217178282171784,2.5553444655534445,0.3169940724158075,Charged (-)
TYR,2.4466553344665534,1.9838016198380162,2.514748525147485,2.315068493150685,0.23588482594978594,Hydrophobic
LYS,1.8263173682631737,2.096090390960904,1.8016198380161983,1.908009199080092,0.13337514274795276,Charged (+)
SER,1.9013098690130987,1.1516848315168484,1.76992300769923,1.6076392360763923,0.3268398599818303,Polar
PRO,1.584041595840416,1.0547945205479452,1.4420557944205579,1.360297303602973,0.2236648605868244,Hydrophobic
VAL,1.0871912808719129,1.1321867813218678,1.6095390460953904,1.276305702763057,0.23634648942674408,Hydrophobic
ALA,1.3917608239176082,0.7931206879312068,1.3696630336966302,1.1848481818484817,0.27714003704648915,Hydrophobic
LEU,0.9949005099490051,1.1292870712928706,1.183881611838816,1.1026897310268973,0.0794104447361502,Hydrophobic
ILE,1.1104889511048894,0.8354164583541646,0.8074192580741926,0.9177748891777489,0.13674792638092065,Hydrophobic
HIS,0.8633136686331366,0.7492250774922508,0.6959304069593041,0.7694897176948973,0.06982015374780032,Charged (+)
ASN,0.6512348765123488,0.5626437356264373,0.567043295670433,0.5936406359364064,0.0407648659410268,Polar
GLN,0.6341365863413658,0.44145585441455854,0.4577542245775422,0.5111155551111555,0.08724310788901204,Polar
PHE,9.999000099990002e-05,1.1915808419158085,0.0,0.3972269439722695,0.5616930293811563,Hydrophobic
MET,0.0156984301569843,0.0103989601039896,0.023797620237976203,0.0166316701663167,0.005509641611622576,Hydrophobic
ASP,0.0,0.00029997000299970003,0.0,9.999000099990002e-05,0.00014140721551575793,Charged (-)
CYS,0.0,0.0,0.0,0.0,0.0,Polar
GLY,0.0,0.0,0.0,0.0,0.0,Other
TRP,0.0,0.0,0.0,0.0,0.0,Hydrophobic
THR,0.0,0.0,0.0,0.0,0.0,Polar
