GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,590.95,1408.29,1639.41,211.8,107.03,-38.58,-1114.79,-6751.35,424.82,1799.15,-5660.51,109.36,-1723.27,-5551.15,-7274.42
51,595.84,1397.14,1659.99,202.52,84.86,-35.0,-1124.39,-7378.76,427.61,1763.93,-5063.22,106.32,-2406.27,-4956.9,-7363.17
101,587.44,1408.2,1673.15,200.54,89.63,-41.73,-1133.02,-7253.54,413.38,1775.08,-5181.76,104.83,-2280.88,-5076.92,-7357.8
151,572.76,1317.22,1673.34,187.93,99.51,-46.75,-1130.5,-7382.74,447.68,1843.83,-5090.42,104.77,-2417.72,-4985.65,-7403.37
201,581.73,1399.92,1640.1,193.82,94.05,-38.21,-1120.14,-7020.38,421.52,1820.89,-5409.45,105.38,-2026.69,-5304.07,-7330.76
251,607.24,1350.56,1661.61,189.85,105.71,-43.41,-1108.78,-7104.02,427.52,1797.9,-5348.5,102.54,-2115.81,-5245.96,-7361.76
301,567.4,1336.39,1658.14,191.81,97.83,-36.98,-1141.55,-7094.0,430.55,1832.84,-5341.45,104.98,-2157.56,-5236.47,-7394.03
351,610.4,1422.32,1696.86,210.0,111.04,-38.37,-1111.82,-7189.28,440.14,1803.43,-5254.92,106.77,-2045.27,-5148.14,-7193.42
401,581.93,1398.43,1671.83,193.74,95.35,-45.07,-1125.24,-7187.51,427.1,1836.77,-5279.41,103.78,-2152.68,-5175.63,-7328.31
451,579.14,1389.71,1650.0,197.46,109.57,-23.08,-1138.29,-7344.93,420.52,1864.55,-5127.4,101.37,-2295.35,-5026.02,-7321.37
501,606.23,1449.7,1680.27,201.78,87.76,-44.58,-1170.87,-7310.99,430.76,1837.75,-5149.01,102.35,-2232.19,-5046.66,-7278.85
551,623.52,1365.61,1683.07,195.67,105.48,-47.26,-1137.06,-7300.54,420.37,1830.79,-5172.51,100.71,-2260.36,-5071.8,-7332.15
601,602.36,1426.85,1674.45,210.01,106.62,-53.87,-1102.87,-7489.58,433.04,1760.13,-4952.83,102.75,-2432.86,-4850.09,-7282.95
651,594.3,1410.82,1651.99,199.07,98.9,-44.96,-1120.37,-7142.95,448.49,1773.94,-5309.44,101.06,-2130.78,-5208.38,-7339.16
701,588.29,1382.18,1648.41,188.46,100.65,-45.28,-1139.68,-7165.56,425.92,1794.93,-5253.26,102.71,-2221.66,-5150.55,-7372.2
751,600.84,1379.58,1683.0,198.1,116.07,-45.33,-1138.51,-7380.16,417.25,1748.08,-5037.83,101.23,-2421.09,-4936.6,-7357.69
801,573.51,1389.53,1676.83,187.83,86.36,-40.13,-1174.67,-6765.1,442.36,1764.5,-5602.6,102.37,-1858.98,-5500.24,-7359.22
851,560.95,1369.93,1677.91,190.67,108.59,-54.02,-1128.53,-7091.89,437.16,1760.09,-5276.55,102.74,-2169.13,-5173.8,-7342.93
901,605.44,1369.44,1667.18,207.59,90.46,-30.47,-1124.92,-7265.56,445.56,1825.56,-5245.65,102.87,-2209.72,-5142.78,-7352.5
951,589.3,1423.47,1649.07,198.81,98.17,-55.59,-1134.16,-6937.65,414.68,1614.51,-5355.58,102.02,-2139.38,-5253.56,-7392.94
1001,570.28,1344.43,1664.2,204.92,113.09,-50.15,-1075.24,-7443.98,425.12,1806.28,-5042.21,106.55,-2441.05,-4935.66,-7376.71
1051,573.71,1381.32,1655.47,193.02,89.59,-30.3,-1112.17,-6951.02,430.4,1866.74,-5535.01,107.91,-1903.24,-5427.1,-7330.33
1101,594.72,1332.26,1656.84,185.85,100.37,-41.23,-1094.64,-7390.45,428.37,1815.69,-5093.81,104.5,-2412.22,-4989.31,-7401.54
1151,567.14,1346.17,1677.07,193.79,96.46,-52.05,-1120.27,-6953.41,452.86,1872.31,-5489.84,106.71,-1919.92,-5383.13,-7303.05
1201,558.79,1419.01,1671.58,197.55,88.63,-39.7,-1109.33,-7257.21,419.81,1780.15,-5152.08,104.65,-2270.72,-5047.44,-7318.15
1251,603.39,1399.44,1667.22,213.63,97.13,-47.05,-1119.52,-7219.37,437.01,1679.78,-5147.78,105.85,-2288.33,-5041.93,-7330.26
1301,620.26,1428.94,1674.1,210.5,110.15,-49.93,-1124.71,-7354.43,405.88,1697.19,-5039.86,102.31,-2382.04,-4937.55,-7319.59
1351,611.86,1379.09,1671.22,197.26,93.11,-47.14,-1087.85,-7220.1,415.41,1834.04,-5273.38,108.99,-2153.09,-5164.39,-7317.48
1401,581.3,1374.97,1663.39,208.26,84.87,-38.61,-1087.51,-7172.71,427.15,1867.02,-5313.59,108.94,-2091.87,-5204.66,-7296.53
1451,572.63,1439.49,1665.32,190.66,88.67,-44.13,-1092.3,-7086.68,426.66,1810.54,-5384.87,110.47,-2029.15,-5274.4,-7303.55
1501,623.41,1389.15,1676.51,200.59,92.56,-51.07,-1107.15,-6961.99,421.97,1803.36,-5501.88,105.91,-1912.65,-5395.98,-7308.63
1551,557.66,1321.42,1696.23,187.51,106.84,-50.91,-1130.99,-7018.41,428.78,1836.0,-5425.15,106.46,-2065.87,-5318.69,-7384.55
1601,596.05,1376.14,1669.5,198.73,102.34,-48.03,-1108.27,-7004.94,432.51,1825.54,-5453.03,107.02,-1960.44,-5346.02,-7306.46
1651,563.75,1395.41,1675.13,192.02,98.29,-32.84,-1116.8,-7142.89,430.69,1785.94,-5274.94,106.51,-2151.32,-5168.43,-7319.75
1701,585.13,1347.91,1658.9,194.27,85.12,-47.82,-1108.44,-6822.4,448.08,1816.58,-5598.8,108.33,-1842.69,-5490.47,-7333.17
1751,552.99,1375.78,1671.17,196.07,105.35,-50.26,-1138.28,-7002.09,427.39,1848.5,-5428.46,104.63,-2013.38,-5323.83,-7337.21
1801,597.09,1410.24,1672.32,195.99,93.15,-35.42,-1096.71,-7029.1,423.36,1787.61,-5403.84,109.01,-1981.45,-5294.83,-7276.28
1851,611.39,1407.95,1653.43,214.43,93.77,-46.72,-1129.15,-6847.11,444.65,1776.35,-5559.97,106.72,-1821.01,-5453.25,-7274.26
1901,605.14,1385.87,1695.26,207.61,98.08,-41.32,-1152.13,-6993.31,419.22,1715.19,-5356.26,105.55,-2060.39,-5250.71,-7311.1
1951,607.42,1437.11,1687.92,197.7,83.67,-42.16,-1122.56,-7295.72,409.33,1749.58,-5123.97,106.69,-2287.71,-5017.28,-7304.99
2001,621.84,1409.44,1680.74,204.96,98.58,-53.23,-1102.19,-6898.65,427.67,1769.07,-5514.99,106.98,-1841.76,-5408.01,-7249.77
2051,591.14,1430.44,1671.16,197.64,93.87,-49.99,-1122.35,-7099.47,434.55,1815.16,-5335.13,105.57,-2037.86,-5229.56,-7267.42
2101,583.31,1386.81,1655.01,209.78,110.53,-42.87,-1103.37,-7140.69,435.36,1714.53,-5216.48,105.64,-2191.6,-5110.84,-7302.45
2151,569.53,1393.61,1672.24,198.5,98.88,-49.31,-1106.64,-7329.69,431.99,1843.73,-5169.38,102.74,-2277.16,-5066.64,-7343.81
2201,600.08,1394.57,1660.44,199.44,88.76,-51.69,-1119.39,-7225.9,420.86,1774.27,-5215.61,104.42,-2258.56,-5111.19,-7369.75
2251,554.18,1382.75,1672.75,200.62,101.62,-34.26,-1109.31,-7344.23,431.67,1841.08,-5126.69,102.58,-2303.13,-5024.11,-7327.24
2301,589.77,1384.6,1659.82,214.93,104.71,-44.55,-1124.06,-7188.0,418.1,1800.26,-5259.66,103.06,-2184.42,-5156.6,-7341.02
2351,596.64,1419.03,1655.58,196.27,97.76,-43.64,-1101.22,-7224.35,433.87,1799.22,-5240.61,103.87,-2170.85,-5136.74,-7307.58
2401,579.65,1427.06,1665.17,203.18,95.92,-49.62,-1123.51,-7312.59,417.06,1743.61,-5140.88,103.04,-2354.05,-5037.84,-7391.89
2451,594.84,1375.14,1655.74,209.26,108.37,-41.23,-1100.42,-7232.74,425.91,1785.4,-5203.41,105.02,-2219.73,-5098.38,-7318.12
2501,589.53,1443.16,1674.13,194.37,95.75,-54.41,-1146.15,-7283.23,411.9,1754.3,-5105.51,103.09,-2320.65,-5002.42,-7323.07
2551,590.59,1393.82,1665.26,204.96,84.69,-38.77,-1084.61,-7221.68,425.32,1775.69,-5211.3,107.52,-2204.73,-5103.78,-7308.51
2601,573.39,1408.05,1656.61,199.0,96.37,-55.5,-1137.27,-7325.57,417.84,1796.25,-5113.54,102.0,-2370.82,-5011.53,-7382.36
2651,598.81,1388.87,1670.57,206.59,90.24,-61.0,-1101.48,-7199.76,415.12,1783.05,-5264.36,105.5,-2208.99,-5158.86,-7367.85
2701,564.91,1440.39,1667.34,192.59,84.58,-52.34,-1114.66,-7130.96,411.14,1714.16,-5262.95,106.5,-2222.86,-5156.45,-7379.32
