snapshot,time_ns,pock_volume,pock_asa,pock_pol_asa,pock_apol_asa,pock_asa22,pock_pol_asa22,pock_apol_asa22,nb_AS,mean_as_ray,mean_as_solv_acc,apol_as_prop,mean_loc_hyd_dens,hydrophobicity_score,volume_score,polarity_score,charge_score,prop_polar_atm,as_density,as_max_dst,convex_hull_volume,nb_abpa,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
1.0,0.05,270.96,156.53,53.88,102.65,114.91,38.45,76.45,96.0,4.25,0.7,0.73,65.8,8.83,5.5,6.0,1.0,31.58,1.53,5.43,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
2.0,0.1,306.17,146.47,26.92,119.56,103.28,19.19,84.1,45.0,4.1,0.65,0.82,34.27,13.86,4.71,5.0,0.0,23.81,2.57,6.55,16.62,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
3.0,0.15000000000000002,315.03,174.92,62.61,112.31,145.33,61.23,84.1,114.0,4.31,0.58,0.9,98.43,10.38,5.0,6.0,1.0,28.0,2.0,7.15,19.36,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
4.0,0.2,302.62,169.84,51.5,118.35,149.88,50.49,99.39,52.0,4.47,0.6,0.81,39.38,3.5,4.83,5.0,0.0,28.57,1.93,5.58,5.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
5.0,0.25,271.38,144.29,34.4,109.89,123.05,31.3,91.74,32.0,4.46,0.59,0.94,27.47,3.5,4.83,5.0,0.0,29.41,2.08,5.82,3.77,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
6.0,0.30000000000000004,223.84,119.09,32.14,86.95,91.78,38.26,53.52,23.0,4.37,0.49,0.7,13.12,3.5,4.83,5.0,0.0,33.33,1.76,4.8,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
7.0,0.35000000000000003,287.71,129.89,33.28,96.61,111.58,31.3,80.28,35.0,4.52,0.64,0.71,21.28,8.8,4.6,4.0,-1.0,27.78,1.75,4.98,1.46,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
8.0,0.4,232.42,126.13,46.43,79.7,90.41,34.98,55.43,18.0,4.3,0.65,0.33,4.33,3.5,4.83,5.0,0.0,35.29,1.74,4.18,3.65,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
9.0,0.45,291.76,140.52,29.42,111.1,114.55,24.71,89.83,43.0,4.41,0.56,0.7,27.2,13.86,4.71,5.0,0.0,26.32,1.51,5.14,2.16,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
10.0,0.5,124.27,62.91,20.65,42.27,53.44,22.86,30.58,6.0,4.21,0.69,0.33,0.0,11.67,5.0,3.0,1.0,40.0,0.76,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11.0,0.55,277.26,153.77,70.44,83.33,136.79,73.71,63.07,40.0,4.34,0.44,0.45,15.67,8.83,5.5,6.0,1.0,43.75,1.85,4.86,2.49,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
