descriptor,mean,std,min,max,median
pock_volume,88.1332,76.2886,0.0,305.05,105.84
pock_asa,63.7271,52.8428,0.0,183.81,86.47
pock_pol_asa,31.3475,27.1384,0.0,101.09,39.64
pock_apol_asa,32.3797,27.9234,0.0,112.31,39.85
pock_asa22,45.1061,39.2563,0.0,142.78,55.12
pock_pol_asa22,25.822,23.3992,0.0,108.13,28.08
pock_apol_asa22,19.284,18.4644,0.0,97.48,19.11
nb_AS,19.8066,20.1007,0.0,112.0,17.0
mean_as_ray,2.4867,1.9562,0.0,4.7,3.8
mean_as_solv_acc,0.353,0.2895,0.0,0.96,0.48
apol_as_prop,0.1839,0.2252,0.0,1.0,0.11
mean_loc_hyd_dens,4.2597,7.0657,0.0,72.11,0.0
hydrophobicity_score,7.2694,8.8581,-38.5,63.0,4.4
volume_score,2.5651,2.0215,0.0,7.0,4.0
polarity_score,2.2893,1.8459,0.0,5.0,3.0
charge_score,-0.072,0.3303,-2.0,1.0,0.0
prop_polar_atm,25.0398,20.4102,0.0,100.0,33.33
as_density,0.7099,0.6239,0.0,4.15,0.86
as_max_dst,1.3803,2.0153,-1.0,5.29,2.06
convex_hull_volume,0.574,0.9247,-1.0,9.67,0.12
nb_abpa,1.2987,1.2348,0.0,6.0,1.0
ALA,0.5903,0.4918,0.0,1.0,1.0
ARG,0.0,0.0,0.0,0.0,0.0
ASN,0.0,0.0,0.0,0.0,0.0
ASP,0.0,0.0,0.0,0.0,0.0
CYS,0.0,0.0,0.0,0.0,0.0
GLN,0.0,0.0,0.0,0.0,0.0
GLU,0.581,0.4936,0.0,2.0,1.0
GLY,0.0,0.0,0.0,0.0,0.0
HIS,0.0,0.0,0.0,0.0,0.0
ILE,0.1814,0.3854,0.0,1.0,0.0
LEU,0.0001,0.0075,0.0,1.0,0.0
LYS,0.509,0.4999,0.0,1.0,1.0
MET,0.0,0.0,0.0,0.0,0.0
PHE,0.0,0.0,0.0,0.0,0.0
PRO,0.2326,0.4225,0.0,1.0,0.0
SER,0.582,0.4932,0.0,1.0,1.0
THR,0.0,0.0,0.0,0.0,0.0
TRP,0.0,0.0,0.0,0.0,0.0
TYR,0.6174,0.486,0.0,1.0,1.0
VAL,0.0,0.0,0.0,0.0,0.0
